record_id,visit_location,auditor_score,surveyor_score,employee_name,phone_number,email,address,province_name,town_name,position
21160,AkRu05215,3,10,"Rudo Imani",+99046972648,rudo.imani@ndogowater.gov,"15 Lake Malawi Avenue",Kilimani,Ilanga,"Field Surveyor"
7938,KiRu29290,3,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
43140,KiHa22748,9,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
18495,SoRu37841,6,10,"Rudo Imani",+99046972648,rudo.imani@ndogowater.gov,"15 Lake Malawi Avenue",Kilimani,Ilanga,"Field Surveyor"
33931,KiRu27884,1,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
17950,KiZu31170,9,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
36864,KiZu31370,3,10,"Yewande Ebele",+99239164858,yewande.ebele@ndogowater.gov,"119 Moroni Avenue",Hawassa,Rural,"Field Surveyor"
45924,AkRu06495,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
30524,HaRu17528,1,10,"Jengo Tumaini",+99820596465,jengo.tumaini@ndogowater.gov,"17 Port Harcourt Boulevard",Akatsi,Kintampo,"Field Surveyor"
13192,SoRu38331,3,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
15461,AmRu15556,9,10,"Farai Nia",+99570082739,farai.nia@ndogowater.gov,"33 Angélique Kidjo Avenue",Amanzi,Dahabu,"Field Surveyor"
55067,AmAm09607,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
29407,AkHa00314,9,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
28874,KiRu26598,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
55796,KiIs23853,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
33630,AkRu03475,1,10,"Makena Thabo",+99690308755,makena.thabo@ndogowater.gov,"81 Rhodes Street",Hawassa,Rural,"Field Surveyor"
28404,KiIs24083,2,10,"Lalitha Kaburi",+99681623240,lalitha.kaburi@ndogowater.gov,"145 Sungura Amanpour Road",Kilimani,Rural,"Field Surveyor"
14211,AmAm09631,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
51075,KiRu30343,2,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
10586,AmRu13668,9,10,"Gamba Shani",+99438283153,gamba.shani@ndogowater.gov,"38 Mlima Tazama Avenue",Hawassa,Rural,"Field Surveyor"
3267,SoBa31691,0,10,"Jengo Tumaini",+99820596465,jengo.tumaini@ndogowater.gov,"17 Port Harcourt Boulevard",Akatsi,Kintampo,"Field Surveyor"
